City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
269,Tatawin,TN,32.9297,10.4518,68.88,73,0,4.68,clear sky
270,Port Lincoln,AU,-34.7333,135.8667,53.6,56,5,10.69,clear sky
271,Souillac,MU,-20.5167,57.5167,71.37,90,89,7.83,light rain
272,Baker City,US,44.7749,-117.8344,55.11,50,40,24.16,scattered clouds
273,Kalmar,SE,56.6616,16.3616,52.97,80,100,9.22,overcast clouds
274,Kruisfontein,ZA,-34.0033,24.7314,52.18,77,34,6.85,scattered clouds
275,Inhambane,MZ,-23.865,35.3833,68.65,62,10,16.89,clear sky
276,Poso,ID,-1.3959,120.7524,77.97,77,100,3.87,overcast clouds
277,Kokopo,PG,-4.352,152.2633,80.4,80,17,3.02,few clouds
278,Fort Nelson,CA,58.8053,-122.7002,44.19,61,75,8.05,light rain
279,Orotukan,RU,62.2667,151.7,13.53,79,3,7.2,clear sky
280,Gimli,CA,50.6336,-96.9907,52.43,94,100,13.96,overcast clouds
281,Jinchang,CN,38.4953,102.1739,42.1,49,0,2.33,clear sky
282,Alexandria,EG,31.2156,29.9553,75.42,67,0,9.98,clear sky
283,Talaya,RU,61.3833,152.75,9.54,80,4,1.68,clear sky
284,Kununurra,AU,-15.7667,128.7333,78.78,73,96,3.44,overcast clouds
285,Honiara,SB,-9.4333,159.95,83.73,74,92,3.27,overcast clouds
286,Asyut,EG,27.181,31.1837,82.99,22,33,4.14,scattered clouds
287,Muli,MV,2.9167,73.5667,82.81,75,91,15.55,overcast clouds
288,Tavda,RU,58.0425,65.2726,26.71,68,8,1.3,clear sky
289,Hervey Bay,AU,-25.2986,152.8535,71.87,66,6,12.24,clear sky
290,Vila,PT,42.0304,-8.1588,56.32,69,63,4.79,broken clouds
291,Nome,US,64.5011,-165.4064,37.17,69,20,0.0,few clouds
292,Torbay,CA,47.6666,-52.7314,43.75,81,75,16.11,broken clouds
293,Constitucion,CL,-35.3333,-72.4167,59.7,67,0,13.91,clear sky
294,Qasigiannguit,GL,68.8193,-51.1922,32.25,83,100,1.34,overcast clouds
295,Port Blair,IN,11.6667,92.75,80.53,84,100,16.22,overcast clouds
296,Okha,RU,53.5739,142.9478,47.26,95,100,27.65,light rain
297,Kalabo,ZM,-14.97,22.6814,81.45,18,77,6.31,broken clouds
298,Talnakh,RU,69.4865,88.3972,22.84,97,94,5.59,light snow
299,Vardo,NO,70.3705,31.1107,41.2,90,100,6.76,overcast clouds
300,Namatanai,PG,-3.6667,152.4333,82.65,73,24,3.53,few clouds
301,Takoradi,GH,4.8845,-1.7554,76.64,89,99,11.07,overcast clouds
302,Clyde River,CA,70.4692,-68.5914,37.63,81,75,11.5,broken clouds
303,Novikovo,RU,51.1537,37.8879,43.68,60,99,4.79,overcast clouds
304,Bulawayo,ZW,-20.15,28.5833,49.86,81,100,19.48,overcast clouds
305,Inverbervie,GB,56.8446,-2.28,52.23,73,100,10.56,overcast clouds
306,Zhigansk,RU,66.7697,123.3711,33.51,99,100,12.91,light snow
307,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,8.05,overcast clouds
308,Coahuayana,MX,18.7333,-103.6833,90.88,71,100,4.76,overcast clouds
309,Gat,IL,31.61,34.7642,71.4,65,0,4.74,clear sky
310,Tombouctou,ML,20.0,-3.0,90.0,9,100,6.02,overcast clouds
311,Baturaja,ID,-4.1333,104.1667,76.53,87,99,1.52,overcast clouds
312,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,2.3,broken clouds
313,Longyan,CN,25.1072,117.0225,69.04,94,15,5.39,few clouds
314,Jiwani,PK,25.05,61.7417,82.27,59,0,5.35,clear sky
315,Cabo San Lucas,MX,22.8909,-109.9124,95.18,67,20,3.0,few clouds
316,Barguzin,RU,53.6167,109.6167,35.53,71,2,1.14,clear sky
317,Kassala,SD,15.451,36.4,87.93,45,100,7.05,overcast clouds
318,Vikevag,NO,59.0976,5.6969,53.69,87,83,11.01,broken clouds
319,Gao,ML,16.6362,1.637,88.25,11,85,9.31,overcast clouds
320,Kavieng,PG,-2.5744,150.7967,82.72,74,62,7.2,broken clouds
321,Rabo De Peixe,PT,37.8,-25.5833,69.31,94,75,10.36,broken clouds
322,San Patricio,US,28.017,-97.5169,92.05,59,56,21.59,broken clouds
323,Tazovskiy,RU,67.4667,78.7,28.29,78,52,16.13,broken clouds
324,Wanganui,NZ,-39.9333,175.05,58.73,74,99,25.01,overcast clouds
325,Waiuku,NZ,-37.25,174.75,63.84,70,86,9.24,overcast clouds
326,Wagga Wagga,AU,-35.1167,147.3667,50.59,87,92,3.44,overcast clouds
327,Bilma,NE,18.6853,12.9164,84.76,10,23,7.27,few clouds
328,Lagoa,PT,39.05,-27.9833,70.93,87,100,22.7,overcast clouds
329,Naples,IT,40.8333,14.25,59.14,76,56,1.01,broken clouds
330,Naze,JP,28.3667,129.4833,77.92,86,65,16.78,broken clouds
331,Aswan,EG,24.0934,32.907,89.26,23,16,10.6,few clouds
332,Libreville,GA,0.3925,9.4537,77.02,94,75,1.14,broken clouds
333,Hazorasp,UZ,41.3194,61.0742,39.04,43,0,2.84,clear sky
334,Lujiang,CN,31.2581,117.2817,57.25,90,100,14.63,light rain
335,Muhlacker,DE,48.95,8.8333,44.62,78,7,2.82,clear sky
336,Dingle,PH,10.9995,122.6711,76.33,94,93,9.4,light rain
337,Waipawa,NZ,-41.4122,175.5153,56.3,60,38,10.29,scattered clouds
338,Camacha,PT,33.0833,-16.3333,69.53,73,20,13.8,few clouds
339,Salta,AR,-24.7859,-65.4117,73.99,53,40,3.0,scattered clouds
340,Nikolskoye,RU,59.7035,30.7861,51.03,69,13,8.46,few clouds
341,Yumen,CN,40.2833,97.2,37.0,26,16,11.05,few clouds
342,Rocha,UY,-34.4833,-54.3333,59.11,77,100,12.68,overcast clouds
343,Mtwara,TZ,-10.2667,40.1833,75.02,84,33,7.85,scattered clouds
344,Carutapera,BR,-1.195,-46.02,80.31,77,54,7.63,broken clouds
345,Sambava,MG,-14.2667,50.1667,67.84,82,34,9.1,scattered clouds
346,Balykshi,KZ,47.0667,51.8667,37.4,70,0,4.47,clear sky
347,Kodinsk,RU,58.6881,99.1844,29.19,94,99,6.64,overcast clouds
