City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Fortuna,US,2021-10-07 22:32:24,40.5982,-124.1573,68.18,62,91,3.0
116,Sitka,US,2021-10-07 22:41:42,57.0531,-135.33,51.69,62,90,6.91
117,Urzhum,RU,2021-10-07 22:41:43,57.1141,49.9996,35.01,70,29,6.13
118,Pevek,RU,2021-10-07 22:41:44,69.7008,170.3133,23.63,82,95,5.79
119,Nemuro,JP,2021-10-07 22:41:45,43.3236,145.575,51.71,90,100,9.55
120,Pitimbu,BR,2021-10-07 22:41:46,-7.4706,-34.8086,77.59,78,81,12.75
121,Santiago,CL,2021-10-07 22:41:37,-33.4569,-70.6483,69.24,46,0,6.91
122,Kaitangata,NZ,2021-10-07 22:41:46,-46.2817,169.8464,59.52,60,16,7.31
123,New Norfolk,AU,2021-10-07 22:41:47,-42.7826,147.0587,58.91,52,87,5.57
124,Asau,RO,2021-10-07 22:32:14,46.4333,26.4,38.32,67,100,3.91
125,Kaeo,NZ,2021-10-07 22:41:48,-35.1,173.7833,64.45,63,49,9.17
126,Klaksvik,FO,2021-10-07 22:41:49,62.2266,-6.589,52.72,92,85,24.18
127,Hofn,IS,2021-10-07 22:41:50,64.2539,-15.2082,46.02,93,100,11.1
128,Nisia Floresta,BR,2021-10-07 22:41:50,-6.0911,-35.2086,81.41,82,56,11.5
129,Nago,JP,2021-10-07 22:41:51,26.5881,127.9761,81.45,70,73,13.24
130,Sao Filipe,CV,2021-10-07 22:32:08,14.8961,-24.4956,79.95,80,19,5.68
131,Sampit,ID,2021-10-07 22:41:52,-2.5333,112.95,74.35,97,19,1.59
132,Salalah,OM,2021-10-07 22:41:40,17.0151,54.0924,80.69,89,75,8.05
133,Poum,NC,2021-10-07 22:41:54,-20.2333,164.0167,74.21,63,25,7.56
134,Fiche,ET,2021-10-07 22:41:54,9.8,38.7333,49.84,85,80,1.68
135,Castro,BR,2021-10-07 22:41:56,-24.7911,-50.0119,57.15,98,99,8.79
136,Manaus,BR,2021-10-07 22:41:56,-3.1019,-60.025,81.09,83,75,5.75
137,Palkino,RU,2021-10-07 22:41:57,57.5409,28.0126,29.95,75,1,6.06
138,Ancud,CL,2021-10-07 22:41:57,-41.8697,-73.8203,58.53,84,1,3.24
139,Kovdor,RU,2021-10-07 22:41:58,67.5662,30.4758,32.81,86,86,7.11
140,Itoman,JP,2021-10-07 22:41:59,26.1247,127.6694,81.37,78,20,6.91
141,Cidreira,BR,2021-10-07 22:42:00,-30.1811,-50.2056,59.43,67,8,8.61
142,Sambava,MG,2021-10-07 22:42:01,-14.2667,50.1667,72.19,77,83,8.3
143,Codrington,AU,2021-10-07 22:42:02,-38.2667,141.9667,52.63,74,100,12.97
144,Melfort,CA,2021-10-07 22:42:02,52.8667,-104.6177,57.96,28,16,6.91
145,Oranjemund,NA,2021-10-07 22:42:03,-28.55,16.4333,55.45,92,30,3.29
